"filename", "language", "JSON", "JSON with Comments", "TypeScript", "XML", "TypeScript JSX", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 5
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/package-lock.json", "JSON", 6384, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6385
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/package.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 1, 2, 9
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/providers/StreamClientProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 9, 39
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/public/icons/Home.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/public/icons/Video.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/public/icons/add-meeting.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/public/icons/add-personal.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/public/icons/call-ended.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 5, 12
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/public/icons/checked.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/public/icons/copy.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/public/icons/hamburger.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
